EMPLOYEE_ID,YEAR,QUARTER,GENDER,AGE,MARITAL_STATUS,MONTH,MANAGEMENT_LEVEL,JOB_FAMILY,WORKER_TYPE,BUSINESS_SITE_LOCATION,CITY_CODE,CITY_NAME,STATE_CODE,STATE_NAME,GEOZONE_CODE,MILITARY_SERVICE,PRIMARY_TERMINATION_REASON,REHIRE_YN,INVOLUNTARY_YN,TERMINATION_FAULT,TERMINATION_DV,CURRENT_STATUS
SG000012,2025,4,FEMALE,26,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000015,2025,4,MALE,34,SINGLE,11,TEAM LEAD,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000020,2025,4,MALE,36,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000028,2025,4,MALE,41,MARRIED,11,TEAM LEAD,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000031,2025,4,FEMALE,26,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000032,2025,4,FEMALE,24,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,61-90,TERMINATED
SG000037,2025,4,FEMALE,42,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000038,2025,4,MALE,25,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000043,2025,4,MALE,34,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,TEMP,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,31-60,TERMINATED
SG000044,2025,4,MALE,45,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,0-30,TERMINATED
SG000046,2025,4,FEMALE,35,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000048,2025,4,MALE,35,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000054,2025,4,MALE,39,SINGLE,11,MANAGER,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000055,2025,4,FEMALE,34,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000056,2025,4,FEMALE,36,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000057,2025,4,FEMALE,28,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000060,2025,4,FEMALE,38,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,31-60,TERMINATED
SG000064,2025,4,FEMALE,33,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000065,2025,4,FEMALE,20,MARRIED,11,TEAM LEAD,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000066,2025,4,FEMALE,32,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000068,2025,4,MALE,19,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000069,2025,4,FEMALE,35,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000073,2025,4,FEMALE,28,MARRIED,11,INDIVIDUAL CONTRIBUTOR,QUALITY,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000082,2025,4,FEMALE,43,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000083,2025,4,FEMALE,33,MARRIED,11,MANAGER,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000087,2025,4,MALE,36,MARRIED,11,INDIVIDUAL CONTRIBUTOR,QUALITY,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,61-90,TERMINATED
SG000088,2025,4,FEMALE,23,MARRIED,11,TEAM LEAD,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000090,2025,4,FEMALE,35,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000091,2025,4,MALE,26,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000093,2025,4,FEMALE,38,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000103,2025,4,MALE,22,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,31-60,TERMINATED
SG000107,2025,4,FEMALE,31,SINGLE,11,INDIVIDUAL CONTRIBUTOR,QUALITY,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000110,2025,4,FEMALE,22,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,91-120,TERMINATED
SG000111,2025,4,MALE,31,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000112,2025,4,MALE,44,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000114,2025,4,MALE,35,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000122,2025,4,FEMALE,30,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000125,2025,4,FEMALE,19,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,91-120,TERMINATED
SG000127,2025,4,MALE,26,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000130,2025,4,FEMALE,33,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,LAYOFF,N,Y,LAYOFF,120+,TERMINATED
